nombre,clase,fecha,enlace
Crossfi,2-medio,11-2025,https://gestion-maquinas.dockerlabs.es/dl/crossfi.zip
Ekisese,2-medio,11-2025,https://gestion-maquinas.dockerlabs.es/dl/ekisese.zip
Perrito Mágico,2-medio,11-2025,https://gestion-maquinas.dockerlabs.es/dl/perrito_magico.zip
Pupin,3-dificil,11-2025,https://gestion-maquinas.dockerlabs.es/dl/pupin.zip
Reflection,1-facil,12-2024,https://gestion-maquinas.dockerlabs.es/dl/reflection.zip
Redirection,1-facil,12-2024,https://gestion-maquinas.dockerlabs.es/dl/redirection.zip
Elevator,1-facil,12-2024,https://gestion-maquinas.dockerlabs.es/dl/elevator.zip
Reverse,2-medio,12-2024,https://gestion-maquinas.dockerlabs.es/dl/reverse.zip
Stack,2-medio,12-2024,https://gestion-maquinas.dockerlabs.es/dl/stack.zip
DevTools,2-medio,12-2024,https://gestion-maquinas.dockerlabs.es/dl/DevTools.zip
Forgotten_Portal,2-medio,12-2024,https://gestion-maquinas.dockerlabs.es/dl/forgotten_portal.zip
BadPlugin,2-medio,12-2024,https://gestion-maquinas.dockerlabs.es/dl/badplugin.zip
Cracker,2-medio,12-2024,https://gestion-maquinas.dockerlabs.es/dl/cracker.zip
Sender,3-dificil,12-2024,https://gestion-maquinas.dockerlabs.es/dl/sender.zip
Darkweb,3-dificil,12-2024,https://gestion-maquinas.dockerlabs.es/dl/darkweb.zip
Flow,3-dificil,12-2024,https://gestion-maquinas.dockerlabs.es/dl/flow.zip
DoubleTrouble,3-dificil,12-2024,https://gestion-maquinas.dockerlabs.es/dl/doubletrouble.zip
Race,2-medio,12-2025,https://gestion-maquinas.dockerlabs.es/dl/race.zip
Jason,2-medio,12-2025,https://gestion-maquinas.dockerlabs.es/dl/jason.zip
Puzzle,2-medio,12-2025,https://gestion-maquinas.dockerlabs.es/dl/puzzle.zip
SocialHub,3-dificil,12-2025,https://gestion-maquinas.dockerlabs.es/dl/socialhub.zip
Tokenaso,3-dificil,12-2025,https://gestion-maquinas.dockerlabs.es/dl/tokenaso.zip
